"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"Michel Creek - Upper","12842140.100097656","18764430.163574219","20409780.126953125","17733139.770507812","15184189.996337891","19191779.949951172","22129450.280761719","19926089.984130859","19816510.052490234","16187680.212402344","16555100.189208984","12842140.100097656","18229571.905517578","18213525.744628906","21699728.094482422","17954135.266113281","21115061.03515625"
"Morrissey Creek","35976769.964599609","53240320.068359375","54654910.284423828","47538140.045166016","40509819.750976562","52956160.021972656","58955699.786376953","54175669.915771484","50623889.703369141","44669080.023193359","47009120.111083984","35976769.964599609","47150308.630371094","48021079.772949219","57939176.977539062","48162978.22265625","54304381.298828125"
"Nordstrum Creek","2190249.8596191406","3689619.9584960938","3765469.9645996094","2820209.8876953125","1483440.1123046875","3563599.9572753906","4319550.0366210938","4480139.9719238281","4505419.9279785156","3117740.0817871094","4015579.9865722656","2190249.8596191406","3230357.9711914062","3269993.0419921875","4650389.0502929688","3209230.9326171875","4018317.1630859375"
"Quarrie Creek","24133399.896240234","28282459.979248047","27800120.159912109","24842020.104980469","20241109.899902344","27415770.184326172","30747020.129394531","31694519.812011719","32805599.896240234","26497359.844970703","32518110.241699219","24133399.896240234","28893064.996337891","30202420.422363281","34387812.542724609","30985567.047119141","32656948.059082031"
"Summit Creek","3637769.970703125","6599500.0427246094","7934040.13671875","5982199.9145507812","3570449.9267578125","7521830.0598144531","8842779.931640625","8276879.9621582031","7931360.1257324219","5621789.94140625","6665270.166015625","3637769.970703125","5542825.0854492188","5818657.1655273438","8556468.9758300781","5946984.033203125","7121983.0200195312"
"Swift Creek","5380709.9548339844","7238379.9926757812","7586009.9548339844","6094840.0573730469","3483729.8522949219","7727919.9096679688","9085499.9145507812","9672630.1574707031","10071909.851074219","6638209.9548339844","8979519.8791503906","5380709.9548339844","7336155.9692382812","7697469.2016601562","10157477.233886719","7723525.9033203125","9046568.9453125"
"Telford Creek","7293120.0561523438","10010589.892578125","9790810.0952148438","8133869.8913574219","6038819.8120117188","9328769.873046875","10473980.102539062","10935459.710693359","10941799.975585938","8942859.9609375","10374899.896240234","7293120.0561523438","9398490.1062011719","9457612.9455566406","11770062.023925781","9488203.0029296875","10823831.884765625"
"Tobermory Creek","22113249.957275391","27131889.971923828","27786650.024414062","23955820.01953125","19216240.118408203","25523820.080566406","29912489.572143555","29722860.009765625","31289729.992675781","23860890.197753906","30666239.984130859","22113249.957275391","27857681.927490234","28715746.765136719","32141554.229736328","28980472.320556641","30545388.000488281"
"Todhunter Creek","7769030.0659179688","8819049.9816894531","9424749.9938964844","8486429.9621582031","6879670.0866699219","9649170.068359375","10240169.958496094","10819039.965820312","11011600.006103516","8774139.9597167969","10372849.938964844","7769030.0659179688","9612719.0979003906","9994727.8442382812","11711287.841796875","10125603.051757812","10882882.006835938"
"Upper Elk Lakes","41480939.877319336","49002760.055541992","48145919.821166992","43816599.755859375","39645150.198364258","45756320.040893555","51007529.95300293","51621590.103149414","52851280.026245117","44688640.347290039","52940800.158691406","41480939.877319336","50873305.877685547","52864755.926513672","56338333.746337891","53415300.402832031","55274590.301513672"
"Weary Creek","9950690.0146484375","11349889.953613281","11816580.004882812","10625160.198974609","8823830.0476074219","11808380.072021484","12874199.945068359","13132229.956054688","13900220.172119141","11022889.739990234","13478690.100097656","9950690.0146484375","12491625.09765625","12895267.846679688","14416992.974853516","13127098.956298828","13851014.801025391"
"Weigert Creek","8145490.2099609375","11053889.929199219","11005569.879150391","9036420.0256347656","6245550.2258300781","10543900.024414062","12216649.951171875","12782209.906005859","12993659.979248047","9942410.1257324219","12273150.073242188","8145490.2099609375","10511269.061279297","10654681.085205078","13669575.354003906","10779566.052246094","12441888.293457031"
"Wheeler Creek","5814269.9462890625","8570809.9426269531","9172399.9389648438","7716790.1977539062","5948369.9951171875","8818809.7106933594","9963300.0","9445890.0207519531","9038829.9255371094","7412800.0183105469","8134770.1354980469","5814269.9462890625","7819468.2556152344","7937127.9174804688","10049005.126953125","8042537.7197265625","9291628.1005859375"
