"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"STURGEON RIVER - 11020301","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"SULPHUR RIVER - 18020103","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"SUTTON CREEK - 17060202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"SWAN RIVER - 17040203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TAWATINAW RIVER - 17050102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TETHUL RIVER - 25010101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TIMEU CREEK - 17010702","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TROUT CREEK - 17020204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER ATHABASCA AND BRULE LAKE - 17010102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010107071626754036","0.020214143253508093","0.030321226233527739","0.040428297860281785","0.050535366648719403","0.050535366648719403","0.050535366648719403","0.050535366648719403","0.050535366648719403","0.050535366648719403"
"UPPER ATHABASCA AND OLDMAN CREEK - 17010401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1531542040118315","0.30630838444221364","0.45946258349904717","0.61261676005946819","0.61261676005946819","0.61261676005946819","0.91514752906503138","1.7350333686013824","2.6256074997985253"
"UPPER ATHABASCA RIVER - 17010101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER BEAVER RIVER - 12010101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER BIRCH RIVER - 18060301","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER LITTLE SMOKY RIVER - 18020701","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER MCLEOD RIVER - 17020101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.38948600846959885","0.78263106506811675","1.1757761131388595","1.5689212011106051","1.9620662432119065","2.1119920151779445","2.6402033922902062","3.3323996440473804","4.2581252534705465","4.747382307627114"
"UPPER PEMBINA RIVER - 17030101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.020844782598863302","0.041689565197726611","0.062534355902639407","0.083379131691206393","0.52380397267963574","1.0127935124480196","1.3061064015264088","1.3061064015264088","1.328404882679814"
"UPPER SLAVE RIVER - 24010101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER SMOKY RIVER - 18020101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UPPER WABASCA RIVER - 18050102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UTIMUMA RIVER - 18050104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WANDERING RIVER - 17050304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14584370561548196","0.29168738223410939","0.43753111684644508","0.58337481601818242","0.72921848941493561","0.72921848941493561","0.72921848941493561","0.72921848941493561","0.72921848941493561","0.72921848941493561"
"WEST PRAIRIE RIVER - 17040102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WHIRLPOOL RIVER - 17010103","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WILDHAY RIVER - 17010302","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WILLOW RIVER - 18050101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WINEFRED RIVER - 17060105","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WOLF CREEK - 17020202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WOOD BUFFALO RIVER - 18050203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
